,,,,Jumlah Aparat dan Sarana Prasarana Ketertiban Umum Kota Batu Tahun 2017 - 2019,,,,,,,,,,,
Bulan,Jumlah Aparat Pamong Praja,,,Jumlah Petugas Patroli Satpol PP,,,Jumlah Pos Keamanan,,,Jumlah Kendaraan Operasional Roda 2,,,Jumlah Kendaraan Operasional Roda 4,,
,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019,2017,2018,2019
Januari,132,129,128,15,12,0,4,4,5,2,2,2,4,5,6
Februari,132,129,128,15,12,0,4,4,5,2,2,2,4,5,6
Maret,132,129,128,15,12,0,4,4,5,2,2,2,4,5,7
April,132,129,128,15,12,0,4,4,5,2,2,2,4,5,7
Mei,132,129,119,15,12,0,4,4,5,2,2,2,4,5,9
Juni,132,129,119,15,12,24,4,4,5,2,2,2,4,5,9
Juli,132,130,119,12,12,24,4,4,5,2,2,2,4,5,9
Agustus,132,130,119,12,12,24,4,4,5,2,2,2,4,5,9
September,132,130,117,12,12,30,4,4,5,2,2,2,4,5,9
Oktober,132,130,117,12,12,23,4,4,5,2,2,2,4,5,9
November,132,130,0,12,12,0,4,5,0,2,2,0,4,5,0
Desember,132,130,0,12,12,0,4,5,0,2,2,0,4,5,0
,Sumber : Satuan Polisi Pamong Praja Kota Batu,,,,,,,,,,,,,,
